step,PNA,PRD,ABS,PRI,PAN,
0.041,94,1365,105,1496,1040,
0.0411,94,1369,105,1498,1044,
0.0412,94,1371,105,1504,1046,
0.0413,94,1373,105,1508,1050,
0.0414,94,1375,105,1513,1053,
0.0415,94,1379,107,1515,1055,
0.0416,94,1379,107,1521,1059,
0.0417,94,1381,107,1527,1061,
0.0418,94,1384,107,1532,1063,
0.0419,94,1388,107,1538,1063,
0.042,94,1392,108,1542,1064,
0.0421,94,1396,109,1544,1067,
0.0422,94,1398,110,1548,1070,
0.0423,95,1399,110,1553,1073,
0.0424,95,1404,110,1556,1075,
0.0425,95,1409,111,1559,1076,
0.0426,95,1413,111,1564,1077,
0.0427,95,1417,111,1569,1078,
0.0428,95,1421,111,1574,1079,
0.0429,95,1424,112,1578,1081,
0.043,95,1431,112,1580,1082,
0.0431,96,1433,112,1584,1085,
0.0432,96,1436,112,1589,1087,
0.0433,96,1438,112,1591,1093,
0.0434,96,1442,112,1594,1096,
0.0435,96,1444,112,1598,1100,
0.0436,96,1445,112,1606,1101,
0.0437,96,1450,112,1611,1101,
0.0438,96,1453,112,1616,1103,
0.0439,96,1456,112,1619,1107,
0.044,97,1458,112,1626,1107,
0.0441,98,1462,112,1628,1110,
0.0442,98,1468,112,1630,1112,
0.0443,98,1473,112,1633,1114,
0.0444,98,1477,112,1635,1118,
0.0445,98,1482,112,1637,1121,
0.0446,98,1483,112,1643,1124,
0.0447,98,1486,113,1647,1126,
0.0448,98,1491,113,1650,1128,
0.0449,98,1493,113,1655,1131,
0.045,98,1496,113,1659,1134,
0.0451,98,1498,113,1663,1138,
0.0452,98,1503,113,1666,1140,
0.0453,98,1507,113,1669,1143,
0.0454,99,1510,113,1673,1145,
0.0455,99,1511,113,1678,1149,
0.0456,99,1516,113,1680,1152,
0.0457,99,1522,113,1683,1153,
0.0458,99,1524,114,1689,1154,
0.0459,99,1526,114,1694,1157,
0.046,99,1529,114,1698,1160,
0.0461,99,1531,114,1701,1165,
0.0462,99,1535,114,1705,1167,
0.0463,99,1542,115,1706,1168,
0.0464,99,1546,116,1709,1170,
0.0465,100,1547,117,1711,1175,
0.0466,101,1550,117,1715,1177,
0.0467,101,1555,117,1718,1179,
0.0468,101,1558,119,1723,1179,
0.0469,101,1561,119,1728,1181,
0.047,101,1563,119,1732,1185,
0.0471,102,1568,119,1735,1186,
0.0472,102,1572,119,1740,1187,
0.0473,102,1575,119,1744,1190,
0.0474,102,1578,119,1747,1194,
0.0475,102,1583,119,1750,1196,
0.0476,102,1585,121,1755,1197,
0.0477,102,1589,121,1757,1201,
0.0478,102,1597,121,1757,1203,
0.0479,102,1604,121,1760,1203,
0.048,102,1606,121,1764,1207,
0.0481,102,1613,121,1766,1208,
0.0482,102,1617,121,1768,1212,
0.0483,103,1619,121,1774,1213,
0.0484,103,1624,121,1777,1215,
0.0485,103,1627,121,1782,1217,
0.0486,104,1630,121,1787,1218,
0.0487,104,1631,122,1791,1222,
0.0488,105,1633,122,1794,1226,
0.0489,105,1636,122,1798,1229,
0.049,105,1638,122,1803,1232,
0.0491,105,1640,123,1808,1234,
0.0492,105,1644,123,1814,1234,
0.0493,105,1648,123,1818,1236,
0.0494,105,1653,124,1820,1238,
0.0495,105,1655,124,1825,1241,
0.0496,105,1659,124,1827,1245,
0.0497,106,1663,124,1831,1246,
0.0498,106,1668,124,1833,1249,
0.0499,106,1670,124,1838,1252,
0.05,106,1672,124,1842,1256,
0.0501,106,1675,124,1849,1256,
0.0502,106,1677,124,1852,1261,
0.0503,106,1683,124,1855,1262,
0.0504,106,1688,124,1856,1266,
0.0505,106,1690,124,1863,1267,
0.0506,106,1692,124,1867,1271,
0.0507,106,1696,124,1872,1272,
0.0508,106,1700,124,1874,1276,
0.0509,106,1703,125,1877,1279,
0.051,106,1706,125,1881,1282,
0.0511,107,1709,126,1885,1283,
0.0512,107,1713,126,1888,1286,
0.0513,109,1715,127,1891,1288,
0.0514,109,1721,127,1894,1289,
0.0515,109,1724,128,1898,1291,
0.0516,109,1728,128,1900,1295,
0.0517,109,1731,129,1903,1298,
0.0518,109,1736,130,1904,1301,
0.0519,109,1738,130,1909,1304,
0.052,110,1742,130,1914,1304,
0.0521,110,1745,131,1919,1305,
0.0522,110,1748,132,1923,1307,
0.0523,110,1750,133,1928,1309,
0.0524,111,1754,133,1933,1309,
0.0525,114,1758,133,1935,1310,
0.0526,114,1763,133,1939,1311,
0.0527,114,1766,133,1942,1315,
0.0528,114,1768,133,1947,1318,
